Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
11/23/2016,10:56:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,355 @ 410,38.98447,-77.0941383333,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,0,0,SCOOTER,GREEN,Citation,23,Transportation Article,No,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,"(38.98447, -77.0941383333333)"
11/23/2016,13:36:00,MCP,"5th district, Germantown",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,FREDERICK RD/SHAKESPEARE BLVD,39.1985383333,-77.2447583333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,HONDA,ACCORD,WHITE,Citation,21,Transportation Article,Yes,OTHER,F,FREDERICK,MD,MD,A - Marked Patrol,"(39.1985383333333, -77.2447583333333)"
11/23/2016,14:16:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,S/B 29 @ BLACKBURN RD,39.1046833333,-76.933665,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HOND,2S,WHITE,Citation,98,Transportation Article,No,WHITE,F,COLUMBIA,MD,MD,A - Marked Patrol,"(39.1046833333333, -76.933665)"
11/23/2016,16:45:00,MCP,"5th district, Germantown",FRAUD IN USE OF MVA ID CARD,RIVER RD & FALLS RD,,,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2016,FORD,FUSION,SILVER,Citation,40,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,B - Unmarked Patrol,
11/23/2016,16:45:00,MCP,"5th district, Germantown",POSSESSING MORE THAN ONE DRIVER'S LICENSE AT ANY ONE TIME,RIVER RD & FALLS RD,,,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2016,FORD,FUSION,SILVER,Citation,80,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,B - Unmarked Patrol,
11/23/2016,16:45:00,MCP,"5th district, Germantown",FAILURE NOTIFY ADM. ADDRESS CHANGE,RIVER RD & FALLS RD,,,Yes,Yes,Yes,No,No,No,No,No,No,No,FL,02 - Automobile,2016,FORD,FUSION,SILVER,Citation,32,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,B - Unmarked Patrol,
11/23/2016,16:45:00,MCP,"5th district, Germantown",KNOWINGLY & FRAUDULENTLY OBTAIN TO OBTAIN LICENSE BY MISREPRESENTATION,RIVER RD & FALLS RD,,,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2016,FORD,FUSION,SILVER,Citation,60,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,B - Unmarked Patrol,
11/23/2016,21:18:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,ROCKVILLE PIKE / HUBBARD DRIVE,39.0525516667,-77.11619,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,BMW,328I,WHITE,Citation,22,Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0525516666667, -77.11619)"
11/23/2016,21:59:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,LOCKWOOD @ JULY,39.0428816667,-76.9806833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,VOLKSWAGEN,JETTA,RED,Citation,12,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0428816666667, -76.9806833333333)"
11/23/2016,21:59:00,MCP,"3rd district, Silver Spring","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",LOCKWOOD @ JULY,39.0428816667,-76.9806833333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,VOLKSWAGEN,JETTA,RED,Citation,74,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0428816666667, -76.9806833333333)"
